movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
5491,False,2,5058,Directing,Roger Christian,Roger Christian,2.366,/sEVJCm1WInlVXZP56RHg4pLZZYB.jpg,52fe4409c3a36847f807e723,Directing,Director
12142,False,2,23799,Directing,Uwe Boll,Uwe Boll,3.667,/6Rf29Z2LaYctdUZeyzyXf41p6Ih.jpg,52fe44bd9251416c7503f4f1,Directing,Director
74849,False,2,49949,Directing,Steve Binder,Steve Binder,1.4,/p6mt1xPRz957hckdE0UNYTHv8sD.jpg,52fe48e1c3a368484e10fbe5,Directing,Director
74849,False,0,79462,Directing,David Acomba,David Acomba,0.84,,5ba7c1719251412f0102b162,Directing,Director
94365,False,2,118639,Directing,Tom Six,Tom Six,3.385,,52fe49569251416c750c4c35,Directing,Director
205321,False,2,85822,Directing,Anthony C. Ferrante,Anthony C. Ferrante,2.002,/oC5NMa4pKT5QLSLJccLARoERNqG.jpg,52fe4d05c3a368484e1d2c55,Directing,Director
505423,False,2,1262867,Directing,Babak Anvari,Babak Anvari,0.799,/m3Ing2nnGihBQQeHe1gPNpaeWvj.jpg,5a86104c9251410b010283d1,Directing,Director
580,False,2,15663,Directing,Joseph Sargent,Joseph Sargent,5.262,/tdRughmKCOifv5nHJLSkrCGhG9J.jpg,52fe4255c3a36847f8016223,Directing,Director
10214,False,2,64191,Directing,Lawrence Guterman,Lawrence Guterman,0.692,,52fe43439251416c75009b7f,Directing,Director
168705,False,2,23799,Directing,Uwe Boll,Uwe Boll,2.2,/6Rf29Z2LaYctdUZeyzyXf41p6Ih.jpg,52fe4cd4c3a36847f82407f1,Directing,Director
681887,False,2,2613318,Directing,Edward Drake,Edward Drake,1.919,/il6fHejjJ4J7YQt0wKLf7VfpAhN.jpg,5ef2033f57d37800377b330a,Directing,Director
11531,False,2,69237,Directing,Joe Berlinger,Joe Berlinger,1.966,/yvCTSlShNLmaq9NNlFKpFOLrVeJ.jpg,52fe44539251416c75030d39,Directing,Director
10152,False,2,58868,Directing,Troy Miller,Troy Miller,0.652,/BXoyjVsNKHAQOh0MmlPGR5apyU.jpg,52fe43369251416c75007c35,Directing,Director
536869,False,2,70500,Directing,Tom Hooper,Tom Hooper,2.037,/wRuokdzGiSh2MHd9cYQQ9KGVFFj.jpg,5b52010192514112b801652d,Directing,Director
351460,False,2,98631,Directing,Adam Wingard,Adam Wingard,3.106,/3Dk4vAmhdb59VTnNRnW1ln52wG6.jpg,55c953af9251410c52000811,Directing,Director
3602,False,2,31119,Directing,Sylvain White,Sylvain White,2.839,/8n84QfPuQCvMaOPXNOOcK1ehhOC.jpg,52fe43a0c3a36847f8062f85,Directing,Director
9607,False,1,58164,Directing,Annabel Jankel,Annabel Jankel,2.935,/o4dllT6wApxefELDH8sLkg2O4p5.jpg,52fe4510c3a36847f80ba4f3,Directing,Director
9607,False,2,58165,Directing,Rocky Morton,Rocky Morton,1.31,,52fe4510c3a36847f80ba4f9,Directing,Director
415,False,2,5572,Directing,Joel Schumacher,Joel Schumacher,3.659,/ttXniaNjekrOBjLQpZqTv89AakA.jpg,52fe4241c3a36847f800fe9f,Directing,Director
17532,False,2,65817,Directing,Chris Fisher,Chris Fisher,2.074,/eLsLnRwAGDMBZ45axAcv0YLD4wh.jpg,52fe472f9251416c750908d9,Directing,Director
26264,False,2,43954,Directing,David Grossman,David Grossman,1.482,,53032f3ec3a3680a3752e87a,Directing,Director
307663,False,2,1024823,Directing,Brian A. Miller,Brian A. Miller,0.614,/8uc10NUQVOdFFgf4gymL3UeDhos.jpg,547ee6edc3a368396f001093,Directing,Director
9320,False,2,34682,Directing,Jeremiah S. Chechik,Jeremiah S. Chechik,0.711,,52fe44e7c3a36847f80b0e7f,Directing,Director
71668,False,2,62797,Directing,John Gulager,John Gulager,0.805,/wU9fIyHvehOwc5X9Pt2yjzr6lGQ.jpg,52fe4841c3a368484e0efc25,Directing,Director
332,False,2,4759,Directing,David Kellogg,David Kellogg,0.707,,52fe4238c3a36847f800d529,Directing,Director
439015,False,2,31119,Directing,Sylvain White,Sylvain White,2.839,/8n84QfPuQCvMaOPXNOOcK1ehhOC.jpg,58946163c3a36840b8004b9f,Directing,Director
166424,False,2,934803,Directing,Josh Trank,Josh Trank,1.159,/cRuViuaRcRnI3CpCIiYZOhWVwk1.jpg,5513036ec3a36801bb003d67,Directing,Director
28739,False,2,101542,Directing,Ti West,Ti West,3.088,/y65ZHU9m830lbdbggxC8eOT123S.jpg,52fe45aec3a368484e068ddf,Directing,Director
27793,False,2,16589,Directing,Peter MacDonald,Peter MacDonald,1.62,/sulOWgN2WZKDOlg8JMpTv8TUSHh.jpg,52fe4566c3a368484e0584db,Directing,Director
13995,False,2,63937,Directing,Albert Pyun,Albert Pyun,2.212,/c1lkhBrHiqn5pD0Cm0zg0UU7hHF.jpg,52fe45c09251416c750613d3,Directing,Director
340674,False,2,1194907,Directing,Alexandros Avranas,Alexandros Avranas,1.122,/hxbjQBLAL9G7PAZBqlwASOCDWn2.jpg,555935cb9251417578000bce,Directing,Director
293452,False,2,40256,Directing,D. J. Caruso,D. J. Caruso,3.413,/f1SZVhhjvzVot596JYVJdf60dWY.jpg,541a9599c3a3684e96000c9e,Directing,Director
11586,False,2,19665,Directing,John Boorman,John Boorman,3.514,/jMSpwdhkIsIGskwVE38Bdtazfy1.jpg,52fe44609251416c75032a0f,Directing,Director
791,False,2,11809,Directing,Rupert Wainwright,Rupert Wainwright,1.217,/f1fRpP95pfArqFXdPh2EjZoCtR7.jpg,52fe4277c3a36847f8020bed,Directing,Director
11411,False,2,64508,Directing,Sidney J. Furie,Sidney J. Furie,1.462,/y6a37PxpUjJLyvev12Ic6cG0hj1.jpg,52fe443a9251416c7502d4f3,Directing,Director
12536,False,2,64877,Directing,Rod Daniel,Rod Daniel,3.466,/n7h8SUMPfVske5D17HKD4d33ZHX.jpg,52fe44f69251416c75046f71,Directing,Director
326425,False,2,30058,Directing,Steven C. Miller,Steven C. Miller,3.141,,54fcf81c925141237d0032ce,Directing,Director
10726,False,2,66800,Directing,Morgan J. Freeman,Morgan J. Freeman,1.727,/fcpw2XhChM1kty9USRe3yIrygHg.jpg,52fe43aa9251416c75019497,Directing,Director
765119,False,2,41039,Directing,Judd Apatow,Judd Apatow,2.784,/7iD2D263nT0ZOF6vuUojQYQ5cbf.jpg,5fb2d55eb6cff1003dc578b0,Directing,Director
79316,False,2,66681,Directing,Matt Bettinelli-Olpin,Matt Bettinelli-Olpin,1.858,/segVE2POL8uJ13j29nZdIoF7RSU.jpg,52fe49ccc3a368484e1404df,Directing,Director
79316,False,2,1039527,Directing,Tyler Gillett,Tyler Gillett,4.469,/puopb3xK23iJPQHmgJW0o2iggjh.jpg,52fe49ccc3a368484e1404e5,Directing,Director
13486,False,2,52968,Directing,Russell Mulcahy,Russell Mulcahy,2.755,/61VZ3twvslKZir66aLCi5Z5TE2Y.jpg,52fe45709251416c750567fd,Directing,Director
13461,False,2,78160,Directing,Luca Guadagnino,Luca Guadagnino,2.741,/lO2GD4s6fRloZLEhsZgBlhJQasE.jpg,52fe456b9251416c75055d31,Directing,Director
485415,False,2,1422671,Directing,Hèctor Hernández Vicens,Hèctor Hernández Vicens,0.607,,59ff9bb4925141470504dbe9,Directing,Director
11546,False,2,69801,Directing,Alan Metter,Alan Metter,1.176,/odJwybc3TGUuE7QMVddWOn5RJMc.jpg,52fe44569251416c750313c5,Directing,Director
87818,False,2,7396,Directing,Peter Farrelly,Peter Farrelly,4.823,/3PDYOFfk5NLmNcEz6SFZmdmqVZr.jpg,52fe49d79251416c910ba9db,Directing,Director
87818,False,2,32593,Directing,Steven Brill,Steven Brill,1.708,/bhWId1JKFtFECSJPCYo9DbXeOaS.jpg,52fe49d79251416c910ba981,Directing,Director
87818,False,2,52112,Directing,Steve Carr,Steve Carr,1.62,/zf3tcqGz6pijSCpvkLXCC33ncEJ.jpg,52fe49d79251416c910ba98d,Directing,Director
87818,False,2,141825,Directing,Rusty Cundieff,Rusty Cundieff,2.355,/14re77GRWUNrI3gEGIiCSRGqtVL.jpg,578a977f9251417b2c000888,Directing,Director
87818,False,2,938681,Directing,James Duffy,James Duffy,0.6,,52fe49d79251416c910ba9cf,Directing,Director
87818,False,2,1272994,Directing,Jonathan van Tulleken,Jonathan van Tulleken,0.6,,573ead72c3a3687ad6001396,Directing,Director
314,True,2,4586,Directing,Pitof,Pitof,3.674,/z7lKv1EscqXN6LjxEj45gE3D1jA.jpg,52fe4236c3a36847f800ca97,Directing,Director
8011,False,2,53599,Directing,Andrew Morahan,Andrew Morahan,0.65,,52fe448dc3a36847f809c6b5,Directing,Director
331446,False,2,85822,Directing,Anthony C. Ferrante,Anthony C. Ferrante,2.002,/oC5NMa4pKT5QLSLJccLARoERNqG.jpg,550a82a89251414693000fa9,Directing,Director
146203,False,2,557179,Directing,Ed Gass-Donnelly,Ed Gass-Donnelly,1.38,,52fe4b779251416c75103b69,Directing,Director
438689,False,2,1450271,Directing,Matthew Ross,Matthew Ross,0.608,,5892594ec3a368462100008f,Directing,Director
89899,False,1,25340,Directing,Emmanuelle Bercot,Emmanuelle Bercot,3.094,/uSoHKyFGWBKvktN9arpvevO4LiY.jpg,52fe4a339251416c910c6977,Directing,Director
89899,False,2,67717,Directing,Michel Hazanavicius,Michel Hazanavicius,1.873,/5Adwey0AqG16rM7jrDMjUaew9W3.jpg,52fe4a339251416c910c698f,Directing,Director
89899,False,2,77008,Directing,Fred Cavayé,Fred Cavayé,2.167,/pVOiQRUiE84lt6irEjPPTPFxz7.jpg,52fe4a339251416c910c697d,Directing,Director
89899,False,2,85340,Directing,Eric Lartigau,Eric Lartigau,2.035,/vuTPNtxlqyF7A0EGXa1SZAMkmiN.jpg,52fe4a339251416c910c6995,Directing,Director
89899,False,2,938077,Directing,Alexandre Courtes,Alexandre Courtes,0.98,/5oSZAMwSf9WmpAnzbC8WrpOjcqQ.jpg,52fe4a339251416c910c6983,Directing,Director
76487,False,2,62768,Directing,William Brent Bell,William Brent Bell,3.157,/f7BvvN72ZhESBQ7wrCVw8M4D9by.jpg,52fe493dc3a368484e1214cf,Directing,Director
2312,False,2,23799,Directing,Uwe Boll,Uwe Boll,3.667,/6Rf29Z2LaYctdUZeyzyXf41p6Ih.jpg,52fe434dc3a36847f8049dd7,Directing,Director
56288,False,2,2294,Directing,Robert Rodriguez,Robert Rodriguez,10.109,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg,52fe48f7c3a36847f81828bb,Directing,Director
168098,False,2,20133,Directing,Tod Williams,Tod Williams,1.616,,52fe4cc3c3a36847f823da17,Directing,Director
11442,False,2,33341,Directing,Rick Rosenthal,Rick Rosenthal,3.344,/wObA3tDXNPNnz7UQrIuFTkIZmvI.jpg,52fe44409251416c7502e145,Directing,Director
10196,False,2,11614,Directing,M. Night Shyamalan,M. Night Shyamalan,8.989,/tOhFWjauKvJgjCVLJFnhbBCZuxZ.jpg,62cb474e4b9bae0a516162d8,Directing,Director
456048,False,2,938894,Directing,Rob W. King,Rob W. King,1.397,,590bcce69251415a46002375,Directing,Director
13009,False,2,87160,Directing,Jay Lee,Jay Lee,1.4,,52fe452e9251416c7504e667,Directing,Director
12211,False,2,71901,Directing,Douglas Aarniokoski,Douglas Aarniokoski,2.086,,52fe44ca9251416c75041151,Directing,Director
82657,False,2,20310,Directing,Takashi Shimizu,Takashi Shimizu,2.855,/krjo0ifUmCCnKTbYpnEWZU8owaJ.jpg,52fe48659251416c9108aef3,Directing,Director
889,False,2,13581,Directing,Brian Levant,Brian Levant,1.306,/w5i30CI5PekRZry3AgME1ntEQSP.jpg,52fe4288c3a36847f80263a7,Directing,Director
11470,False,2,69579,Directing,James Isaac,James Isaac,1.614,,52fe44479251416c7502f0b1,Directing,Director
74997,False,2,118639,Directing,Tom Six,Tom Six,3.385,,52fe48e9c3a368484e1117e3,Directing,Director
188207,False,2,16938,Directing,Renny Harlin,Renny Harlin,7.831,/IhXiDrZBrsLZpB5K5BmzUGkp4G.jpg,52fe4d329251416c751333bd,Directing,Director
241251,False,2,18878,Directing,Rob Cohen,Rob Cohen,5.595,/kVbB8Q0g8eXsn8l81flyC6TgMPW.jpg,52fe4eb5c3a36847f82a2c7f,Directing,Director
4258,False,2,72024,Directing,Malcolm D. Lee,Malcolm D. Lee,3.966,/aae8K7qO5XYployiStHbAMMbahM.jpg,52fe43b6c3a36847f8069ee7,Directing,Director
5458,False,2,11873,Directing,Roger Kumble,Roger Kumble,1.629,/njVOmV33aCFRUlBxxLXzLbrmAUS.jpg,52fe4406c3a36847f807dcd7,Directing,Director
916740,False,1,1224778,Directing,Monika Mitchell,Monika Mitchell,1.4,/rVQdInhmvt6VaX8apV9AxSU5JQb.jpg,61bb6d8b4da3d4004354e85e,Directing,Director
284674,False,2,1351814,Directing,Christian Cantamessa,Christian Cantamessa,0.6,,53e77e25c3a368398d00198d,Directing,Director
3177,False,2,31073,Directing,Kenta Fukasaku,Kenta Fukasaku,1.787,/pDSPbVTCaypO2046mJTgaRWgk4H.jpg,52fe438dc3a36847f805ce21,Directing,Director
3177,False,2,31074,Directing,Kinji Fukasaku,Kinji Fukasaku,2.872,/mrDEkUwgZOQz8ES5oMwTBfN4n7q.jpg,52fe438dc3a36847f805ce2d,Directing,Director
