movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
2,False,2,16767,Directing,Aki Kaurismäki,Aki Kaurismäki,4.373,/q6o8qW91GN0zqMmxhSxruLyDwbz.jpg,52fe420dc3a36847f8000025,Directing,Director
3,False,2,16767,Directing,Aki Kaurismäki,Aki Kaurismäki,4.373,/q6o8qW91GN0zqMmxhSxruLyDwbz.jpg,52fe420dc3a36847f8000071,Directing,Director
5,False,1,3110,Directing,Allison Anders,Allison Anders,1.819,/ln8nIx6UjxpMLVQlStCJpx6fyL7.jpg,52fe420dc3a36847f800012d,Directing,Director
5,False,2,2294,Directing,Robert Rodriguez,Robert Rodriguez,11.56,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg,52fe420dc3a36847f8000139,Directing,Director
5,False,2,138,Directing,Quentin Tarantino,Quentin Tarantino,20.868,/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg,52fe420dc3a36847f800013f,Directing,Director
6,False,2,2042,Directing,Stephen Hopkins,Stephen Hopkins,5.319,/9xjYIKLW7Ylse206sMmiDDdUz66.jpg,52fe420dc3a36847f800023d,Directing,Director
8,False,0,34833,Directing,Timo Novotny,Timo Novotny,0.6,,52fe420dc3a36847f80002f1,Directing,Director
9,False,1,914,Directing,Anna Haas,Anna Haas,0.6,,52fe420dc3a36847f800033d,Directing,Director
11,False,2,1,Directing,George Lucas,George Lucas,11.733,/WCSZzWdtPmdRxH9LUCVi2JPCSJ.jpg,5e85e7e298f1f10014ab3e74,Directing,Director
13,False,2,24,Directing,Robert Zemeckis,Robert Zemeckis,14.627,/lPYDQ5LYNJ12rJZENtyASmVZ1Ql.jpg,52fe420ec3a36847f800072d,Directing,Director
14,False,2,39,Directing,Sam Mendes,Sam Mendes,10.5,/5z89X9rB76JDblqMQ52fviwXxAN.jpg,52fe420ec3a36847f80007c5,Directing,Director
15,False,2,40,Directing,Orson Welles,Orson Welles,9.453,/e9lGmqQq3EsHeUQgQLByo275hcc.jpg,52fe420ec3a36847f8000885,Directing,Director
16,False,2,42,Directing,Lars von Trier,Lars von Trier,11.035,/7y1zOCOGb9ePiWt2SqZPnr13X3g.jpg,52fe420ec3a36847f8000981,Directing,Director
17,False,2,43,Directing,John Fawcett,John Fawcett,1.954,/ArR5IXmo5yqjH4I6kcO9W5u9rDC.jpg,52fe420fc3a36847f8000a7f,Directing,Director
18,False,2,59,Directing,Luc Besson,Luc Besson,14.371,/dXJdczT1NcvcZtnoWVGT0NmG11v.jpg,52fe420fc3a36847f8000b43,Directing,Director
19,False,2,68,Directing,Fritz Lang,Fritz Lang,7.69,/z02YZggZD0YP7nBG5PGHZncacXm.jpg,52fe420fc3a36847f8000c61,Directing,Director
