"MOVIE_ID","PROVIDER_ID"
127370,97
127370,96
38541,356
38541,3
38541,3
442064,8
442064,356
442064,96
442064,3
442064,356
442064,96
442064,3
982752,356
982752,3
982752,96
982752,3
574638,8
483983,3
483983,96
483983,3
531299,356
531299,96
531299,3
531299,356
531299,96
531299,3
336804,8
336804,97
336804,96
241257,97
241257,96
241257,3
241257,96
241257,3
84334,97
84334,356
84334,96
84334,3
84334,356
84334,96
84334,3
297725,97
297725,3
297725,96
283235,97
283235,356
283235,96
283235,3
283235,356
283235,96
283235,3
425591,8
41556,97
41556,96
62046,3
62046,3
570352,97
570352,356
570352,3
570352,96
570352,3
597594,8
582883,3
582883,3
694254,8
89623,97
89623,96
89623,3
266294,356
266294,96
266294,3
266294,356
266294,96
266294,3
157847,356
505379,8
479753,96
564145,96
564145,3
209403,96
209403,96
531509,8
566076,356
566076,3
566076,356
566076,3
279641,356
279641,96
279641,3
279641,356
279641,96
279641,3
101173,356
101173,3
101173,96
101173,3
614017,3
614017,96
614017,3
642538,356
642538,96
642538,3
642538,356
642538,96
642538,3
276839,356
276839,356
651881,356
651881,96
651881,3
651881,356
651881,96
651881,3
457962,8
430214,97
430214,356
430214,3
430214,96
430214,3
330947,97
111237,97
111237,3
111237,96
111237,3
430988,97
430988,3
430988,96
430988,3
207703,337
207703,356
207703,3
881462,8
47971,356
47971,96
47971,3
47971,356
47971,96
47971,3
576925,356
576925,96
576925,356
576925,96
420821,337
335797,97
335797,96
335797,3
335797,3
335984,119
335984,97
335984,356
335984,96
335984,3
335984,356
335984,96
335984,3
703451,8
1006851,8
300823,97
300823,96
300823,3
300823,96
649392,97
649392,3
649392,96
589712,356
589712,3
589712,96
589712,3
73588,356
73588,3
584044,3
628333,8
628333,97
628333,356
628333,96
628333,3
628333,356
628333,96
628333,3
570508,8
570508,97
570508,96
570508,3
570508,96
570508,3
513324,97
513324,96
513324,3
95516,356
682587,8
688301,97
688301,356
688301,96
688301,3
688301,96
688301,3
78698,356
78698,356
818659,8
