movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
2,False,2,16767,Directing,Aki Kaurismäki,Aki Kaurismäki,4.373,/q6o8qW91GN0zqMmxhSxruLyDwbz.jpg,52fe420dc3a36847f8000025,Directing,Director
5,False,1,3110,Directing,Allison Anders,Allison Anders,1.819,/ln8nIx6UjxpMLVQlStCJpx6fyL7.jpg,52fe420dc3a36847f800012d,Directing,Director
5,False,2,2294,Directing,Robert Rodriguez,Robert Rodriguez,11.56,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg,52fe420dc3a36847f8000139,Directing,Director
5,False,2,138,Directing,Quentin Tarantino,Quentin Tarantino,20.868,/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg,52fe420dc3a36847f800013f,Directing,Director
6,False,2,2042,Directing,Stephen Hopkins,Stephen Hopkins,5.319,/9xjYIKLW7Ylse206sMmiDDdUz66.jpg,52fe420dc3a36847f800023d,Directing,Director
8,False,0,34833,Directing,Timo Novotny,Timo Novotny,0.6,,52fe420dc3a36847f80002f1,Directing,Director
9,False,1,914,Directing,Anna Haas,Anna Haas,0.6,,52fe420dc3a36847f800033d,Directing,Director
11,False,2,1,Directing,George Lucas,George Lucas,11.733,/WCSZzWdtPmdRxH9LUCVi2JPCSJ.jpg,5e85e7e298f1f10014ab3e74,Directing,Director
13,False,2,24,Directing,Robert Zemeckis,Robert Zemeckis,14.627,/lPYDQ5LYNJ12rJZENtyASmVZ1Ql.jpg,52fe420ec3a36847f800072d,Directing,Director
14,False,2,39,Directing,Sam Mendes,Sam Mendes,10.5,/5z89X9rB76JDblqMQ52fviwXxAN.jpg,52fe420ec3a36847f80007c5,Directing,Director
15,False,2,40,Directing,Orson Welles,Orson Welles,9.453,/e9lGmqQq3EsHeUQgQLByo275hcc.jpg,52fe420ec3a36847f8000885,Directing,Director
16,False,2,42,Directing,Lars von Trier,Lars von Trier,11.035,/7y1zOCOGb9ePiWt2SqZPnr13X3g.jpg,52fe420ec3a36847f8000981,Directing,Director
17,False,2,43,Directing,John Fawcett,John Fawcett,1.954,/ArR5IXmo5yqjH4I6kcO9W5u9rDC.jpg,52fe420fc3a36847f8000a7f,Directing,Director
18,False,2,59,Directing,Luc Besson,Luc Besson,14.371,/dXJdczT1NcvcZtnoWVGT0NmG11v.jpg,52fe420fc3a36847f8000b43,Directing,Director
19,False,2,68,Directing,Fritz Lang,Fritz Lang,7.69,/z02YZggZD0YP7nBG5PGHZncacXm.jpg,52fe420fc3a36847f8000c61,Directing,Director
20,False,1,90,Directing,Isabel Coixet,Isabel Coixet,2.951,/s2Hspn17nOf6LIuVrULvV3OOiX0.jpg,52fe420fc3a36847f8000d1d,Directing,Director
21,False,2,86,Directing,Bruce Brown,Bruce Brown,0.6,,52fe420fc3a36847f8000dc1,Directing,Director
22,False,2,1704,Directing,Gore Verbinski,Gore Verbinski,5.052,/rSQRdmLNAwdKxrtvBSSlBmWeSsj.jpg,52fe420fc3a36847f8000ea9,Directing,Director
26,False,2,160,Directing,Eytan Fox,Eytan Fox,0.84,/bT2m74x9nV8PTYrbwf42V3mpQxH.jpg,52fe4210c3a36847f80011b1,Directing,Director
27,False,2,172,Directing,Michael Winterbottom,Michael Winterbottom,4.193,/r4cpuukDMG3xLS8tEaTV7X2IxnO.jpg,52fe4210c3a36847f8001217,Directing,Director
28,False,2,1776,Directing,Francis Ford Coppola,Francis Ford Coppola,8.968,/mGKkVp3l9cipPt10AqoQnwaPrfI.jpg,52fe4210c3a36847f80012c7,Directing,Director
35,False,2,197,Directing,David Silverman,David Silverman,3.067,/rfbJ0PUQsdggzWlLCdjdywDA7VV.jpg,52fe4211c3a36847f8001521,Directing,Director
38,False,2,201,Directing,Michel Gondry,Michel Gondry,6.214,/1IAnVsl8JgHpUirBXpsbLlWyS1y.jpg,52fe4211c3a36847f800166f,Directing,Director
55,False,2,223,Directing,Alejandro González Iñárritu,Alejandro González Iñárritu,7.378,/qWrltG9e0ssM3Y9pF86EAgteKHu.jpg,52fe4211c3a36847f800173d,Directing,Director
59,False,2,224,Directing,David Cronenberg,David Cronenberg,11.593,/kLHnBnUomcH96PdLRBnuZUzRoY1.jpg,52fe4212c3a36847f8001923,Directing,Director
62,False,2,240,Directing,Stanley Kubrick,Stanley Kubrick,16.201,/yFT0VyIelI9aegZrsAwOG5iVP4v.jpg,5e8354893344c600182bbb4d,Directing,Director
63,False,2,280,Directing,Terry Gilliam,Terry Gilliam,12.027,/kODccJVnrt4ioPbJVEnkkKPHbG7.jpg,52fe4212c3a36847f8001ac7,Directing,Director
64,False,2,309,Directing,Pedro Almodóvar,Pedro Almodóvar,5.014,/dKlaXJk3NLcsC1CKMx6xmyW5BZD.jpg,52fe4212c3a36847f8001b99,Directing,Director
65,False,2,323,Directing,Curtis Hanson,Curtis Hanson,1.892,/1ht0tJ0Icxc134W3ZpcGtwMtNLA.jpg,5e9253bcd55e4d00151827fe,Directing,Director
67,False,2,357,Directing,Hany Abu-Assad,Hany Abu-Assad,2.102,/y4k7lPSbzJRraN7RhDbgyRcuoSo.jpg,52fe4212c3a36847f8001da1,Directing,Director
69,False,2,366,Directing,James Mangold,James Mangold,14.195,/pk0GDjn99crNwR4qgCCEokDYd71.jpg,52fe4213c3a36847f8001f3f,Directing,Director
71,False,2,468,Directing,Stephen Daldry,Stephen Daldry,2.698,/ihO5E6U4yR7gPvZpeC5fbAu9WG2.jpg,52fe4213c3a36847f80020eb,Directing,Director
73,False,2,814,Directing,Tony Kaye,Tony Kaye,1.953,/5FMrsJ6yDbA3JccaFAKpGk5s6MR.jpg,52fe4213c3a36847f8002177,Directing,Director
74,False,2,488,Directing,Steven Spielberg,Steven Spielberg,37.943,/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,52fe4213c3a36847f8002225,Directing,Director
75,False,2,510,Directing,Tim Burton,Tim Burton,15.15,/oWZDgLRr4zgRiJEsOAtgntPd5bI.jpg,52fe4214c3a36847f80022eb,Directing,Director
76,False,2,564,Directing,Richard Linklater,Richard Linklater,1.832,/wNijRefhQCp0BkNqM5qhhdazDgx.jpg,52fe4214c3a36847f80023e1,Directing,Director
77,False,2,525,Directing,Christopher Nolan,Christopher Nolan,20.91,/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,5e83ad65e33f83001435a709,Directing,Director
78,False,2,578,Directing,Ridley Scott,Ridley Scott,11.865,/zABJmN9opmqD4orWl3KSdCaSo7Q.jpg,52fe4214c3a36847f8002595,Directing,Director
79,False,2,607,Directing,Zhang Yimou,Zhang Yimou,4.793,/uU5vECl94jDQYjiRk4eOpVRMEi9.jpg,52fe4214c3a36847f8002709,Directing,Director
81,False,2,608,Directing,Hayao Miyazaki,Hayao Miyazaki,11.376,/mG3cfxtA5jqDc7fpKgyzZMKoXDh.jpg,52fe4215c3a36847f8002815,Directing,Director
82,False,2,638,Directing,Michael Mann,Michael Mann,10.76,/1nRqwMyQuCkvNPAzDY5oOSfGZ6b.jpg,53e53d870e0a2628d1000034,Directing,Director
83,False,2,640,Directing,Chris Kentis,Chris Kentis,0.6,,52fe4215c3a36847f8002991,Directing,Director
86,False,2,672,Directing,Oskar Roehler,Oskar Roehler,1.407,/jqAQDH19vOQU5crqqTn3OY6mWa6.jpg,52fe4215c3a36847f8002af7,Directing,Director
88,False,2,716,Directing,Emile Ardolino,Emile Ardolino,4.693,/zWQ87XisfPtlSHjnfl9XMCYZcu6.jpg,52fe4215c3a36847f8002ced,Directing,Director
90,False,2,769,Directing,Martin Brest,Martin Brest,4.495,/bqR72AZbmi0CnLarTpOv9YA9IzG.jpg,52fe4216c3a36847f8002ee7,Directing,Director
91,False,2,793,Directing,Luis Buñuel,Luis Buñuel,5.51,/a7wib1eRG6TyonDXpAbF7PZd0f8.jpg,52fe4216c3a36847f8002f91,Directing,Director
92,False,2,801,Directing,Michael Glawogger,Michael Glawogger,0.84,/bYkuAISIwtWAbOuFA8wnKiHhscE.jpg,52fe4216c3a36847f8002fdd,Directing,Director
93,False,2,834,Directing,Otto Preminger,Otto Preminger,2.039,/zmJuWBIbWURkB138eD9IPVzpAUt.jpg,52fe4216c3a36847f8003051,Directing,Director
94,False,0,836,Directing,André F. Nebe,André F. Nebe,0.6,,52fe4216c3a36847f80030d7,Directing,Director
96,False,2,893,Directing,Tony Scott,Tony Scott,9.077,/zEEbiNa8Pqw3U6pZ8Z2y3dlJJnC.jpg,52fe4216c3a36847f800324b,Directing,Director
97,False,2,12859,Directing,Steven Lisberger,Steven Lisberger,1.708,/oyYWTrnNthn5l6rbR55oURe7D0t.jpg,52fe4217c3a36847f800334b,Directing,Director
100,False,2,956,Directing,Guy Ritchie,Guy Ritchie,31.389,/9pLUnjMgIEWXi0mlHYzie9cKUTD.jpg,52fe4217c3a36847f80035c1,Directing,Director
102,False,1,1011,Directing,Susanne Bier,Susanne Bier,1.697,/tVp2J7hMAgJnaXtQojFN3VTVYaY.jpg,52fe4217c3a36847f8003701,Directing,Director
103,False,2,1032,Directing,Martin Scorsese,Martin Scorsese,14.303,/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg,5f0b95065e12000035e5ea84,Directing,Director
104,False,2,1071,Directing,Tom Tykwer,Tom Tykwer,2.892,/cu7F4AulzRbj0dZH9s5pRM61w64.jpg,52fe4218c3a36847f80038ab,Directing,Director
106,False,2,1090,Directing,John McTiernan,John McTiernan,7.088,/yVfDkVbgQHD1A7JSV8Z47EjB1mU.jpg,52fe4218c3a36847f8003b0d,Directing,Director
108,False,2,1126,Directing,Krzysztof Kieślowski,Krzysztof Kieślowski,4.378,/8wxPNOV9dg7EDHAFrRdJf6BitMl.jpg,52fe4219c3a36847f8003ca7,Directing,Director
